time,Epoch,Loss,acc,prec,rec,f1
2022-06-28 10:24:21.125139,0,"tensor(2.3028, device='cuda:0')",0.68,0.6496296296296297,0.68,0.6330193615907902
2022-06-28 10:24:21.158100,1,"tensor(2.7339, device='cuda:0')",0.44,0.6168888888888888,0.44,0.461010989010989
2022-06-28 10:24:21.189991,2,"tensor(2.7269, device='cuda:0')",0.48,0.46387096774193554,0.48,0.44666666666666666
2022-06-28 10:24:21.222904,3,"tensor(1.9904, device='cuda:0')",0.52,0.5387012987012987,0.52,0.5155555555555555
2022-06-28 10:24:21.255790,4,"tensor(2.7464, device='cuda:0')",0.6,0.5637052631578947,0.6,0.5723363728470112
2022-06-28 10:24:21.288727,5,"tensor(2.2716, device='cuda:0')",0.74,0.7385463659147871,0.74,0.731497584541063
2022-06-28 10:24:21.321639,6,"tensor(3.2296, device='cuda:0')",0.54,0.5203809523809524,0.54,0.5185454545454546
2022-06-28 10:24:21.354525,7,"tensor(3.0145, device='cuda:0')",0.44,0.4606571146245059,0.44,0.43744938820912127
2022-06-28 10:24:21.387436,8,"tensor(2.1297, device='cuda:0')",0.56,0.5768235294117647,0.56,0.5313244469653999
2022-06-28 10:24:21.420349,9,"tensor(1.6605, device='cuda:0')",0.66,0.5925333333333334,0.66,0.6243848288621647
2022-06-28 10:24:21.453260,10,"tensor(2.9145, device='cuda:0')",0.52,0.5111594202898551,0.52,0.5153162393162394
2022-06-28 10:24:21.465229,11,"tensor(2.7065, device='cuda:0')",0.5555555555555556,0.6592592592592593,0.5555555555555556,0.574074074074074
