CaseID,Activity,Resource,Timestamp,ActivityID,ResourceID
1-109135791,Queued,Minnie,2006/01/11 15:49:42.000000,1,1
1-109135791,Accepted,Minnie,2012/03/15 11:53:52.000000,2,1
1-109135791,Accepted,Minnie,2012/03/15 11:56:17.000000,2,1
1-109135791,Accepted,Minnie,2012/03/15 12:09:05.000000,2,1
1-109135791,Completed,Minnie,2012/03/15 12:11:33.000000,3,1
1-147898401,Accepted,Tomas,2006/11/07 10:00:36.000000,2,2
1-147898401,Accepted,Tomas,2006/11/07 13:05:44.000000,2,2
1-147898401,Accepted,Tomas,2009/12/02 14:24:32.000000,2,2
1-147898401,Accepted,Tomas,2011/09/03 06:09:09.000000,2,2
1-147898401,Accepted,Carrie,2012/01/20 10:23:24.000000,2,3
1-147898401,Completed,Carrie,2012/01/20 10:23:27.000000,3,3
1-165554831,Accepted,Tomas,2007/03/20 09:06:25.000000,2,2
1-165554831,Accepted,Tomas,2009/12/02 14:24:31.000000,2,2
1-165554831,Accepted,Tomas,2011/09/03 06:10:53.000000,2,2
1-165554831,Accepted,Carrie,2012/01/18 08:52:41.000000,2,3
1-165554831,Completed,Carrie,2012/01/18 08:52:43.000000,3,3
1-172473423,Accepted,Tomas,2007/05/10 15:21:54.000000,2,2
1-172473423,Accepted,Tomas,2009/12/02 14:24:33.000000,2,2
1-172473423,Accepted,Tomas,2011/09/03 06:10:59.000000,2,2
1-172473423,Accepted,Carrie,2012/01/18 08:20:53.000000,2,3
1-172473423,Completed,Carrie,2012/01/18 08:21:10.000000,3,3
1-182640781,Accepted,Niklas,2007/07/25 13:21:05.000000,2,4
1-182640781,Accepted,Niklas,2009/12/02 14:24:32.000000,2,4
1-182640781,Queued,Niklas,2010/08/25 10:13:01.000000,1,4
1-182640781,Accepted,Niklas,2011/09/05 08:24:13.000000,2,4
1-182640781,Accepted,Niklas,2011/11/14 16:10:25.000000,2,4
1-182640781,Accepted,Niklas,2012/01/03 11:30:35.000000,2,4
