CaseID,Activity,Resource,Timestamp,ActivityID,ResourceID
1-147898401,Accepted,Tomas,2006/11/07 10:00:36.000000,1,1
1-147898401,Accepted,Tomas,2006/11/07 13:05:44.000000,1,1
1-147898401,Accepted,Tomas,2009/12/02 14:24:32.000000,1,1
1-147898401,Accepted,Tomas,2011/09/03 06:09:09.000000,1,1
1-165554831,Accepted,Tomas,2007/03/20 09:06:25.000000,1,1
1-165554831,Accepted,Tomas,2009/12/02 14:24:31.000000,1,1
1-165554831,Accepted,Tomas,2011/09/03 06:10:53.000000,1,1
1-172473423,Accepted,Tomas,2007/05/10 15:21:54.000000,1,1
1-172473423,Accepted,Tomas,2009/12/02 14:24:33.000000,1,1
1-172473423,Accepted,Tomas,2011/09/03 06:10:59.000000,1,1
1-182640781,Accepted,Niklas,2007/07/25 13:21:05.000000,1,2
1-182640781,Accepted,Niklas,2009/12/02 14:24:32.000000,1,2
1-182640781,Queued,Niklas,2010/08/25 10:13:01.000000,2,2
1-182640781,Accepted,Niklas,2011/09/05 08:24:13.000000,1,2
1-182640781,Accepted,Niklas,2011/11/14 16:10:25.000000,1,2
1-182640781,Accepted,Niklas,2012/01/03 11:30:35.000000,1,2
1-182640781,Completed,Niklas,2012/01/03 11:31:53.000000,3,2
1-230541365,Accepted,Tomas,2008/05/07 17:58:51.000000,1,1
1-230541365,Accepted,Tomas,2008/10/06 15:44:37.000000,1,1
1-230541365,Accepted,Tomas,2009/12/02 14:24:34.000000,1,1
1-230541365,Accepted,Tomas,2011/09/01 23:27:50.000000,1,1
1-230541365,Accepted,Tomas,2011/09/01 23:27:55.000000,1,1
1-236817141,Accepted,Tomas,2008/06/04 11:02:18.000000,1,1
1-236817141,Accepted,Tomas,2009/12/02 14:24:34.000000,1,1
1-236817141,Queued,Tomas,2010/08/25 10:06:45.000000,2,1
1-236817141,Accepted,Tomas,2011/09/03 07:02:11.000000,1,1
1-236817141,Accepted,Niklas,2011/11/14 16:09:27.000000,1,2
1-236817141,Accepted,Tomas,2012/01/05 14:08:18.000000,1,1
1-236817141,Completed,Tomas,2012/01/05 14:09:00.000000,3,1
1-270427461,Accepted,Tomas,2008/11/13 11:01:04.000000,1,1
1-270427461,Accepted,Tomas,2009/12/02 14:24:35.000000,1,1
1-270427461,Accepted,Tomas,2011/11/14 15:57:27.000000,1,1
1-345132462,Accepted,Tomas,2010/01/14 10:34:54.000000,1,1
1-345132462,Accepted,Tomas,2010/01/27 10:43:29.000000,1,1
1-345132462,Accepted,Tomas,2010/02/03 10:20:05.000000,1,1
1-345132462,Accepted,Tomas,2010/02/22 08:33:08.000000,1,1
1-345132462,Accepted,Tomas,2011/09/01 23:17:47.000000,1,1
1-351314317,Accepted,Ewa,2010/02/03 09:34:32.000000,1,3
1-351314317,Queued,Ewa,2010/02/03 09:45:18.000000,2,3
1-351314317,Accepted,Ewa,2010/02/03 10:40:51.000000,1,3
1-351314317,Accepted,Ewa,2010/02/03 10:40:58.000000,1,3
1-351314317,Accepted,Ewa,2011/12/20 22:25:19.000000,1,3
1-351314317,Completed,Ewa,2012/01/03 13:13:02.000000,3,3
1-354350908,Accepted,Tomas,2010/02/16 11:03:41.000000,1,1
1-354350908,Accepted,Tomas,2011/09/01 23:16:31.000000,1,1
1-354376900,Accepted,Tomas,2010/02/16 11:04:37.000000,1,1
1-354376900,Accepted,Tomas,2011/09/01 23:16:15.000000,1,1
1-359841262,Accepted,Tomas,2010/03/11 14:06:34.000000,1,1
1-359841262,Accepted,Tomas,2010/03/11 14:10:10.000000,1,1
1-359841262,Queued,Tomas,2010/03/11 14:12:19.000000,2,1
1-359841262,Accepted,Pawel,2010/03/11 14:12:35.000000,1,4
1-359841262,Queued,Tomas,2010/03/11 14:12:46.000000,2,1
1-359841262,Accepted,Pawel,2010/03/11 14:13:02.000000,1,4
1-359841262,Accepted,Tomas,2010/07/20 08:25:18.000000,1,1
1-359841262,Accepted,Tomas,2011/09/05 08:28:42.000000,1,1
1-360464815,Accepted,Panigrahy,2010/03/15 14:40:16.000000,1,5
1-360464815,Accepted,Panigrahy,2010/04/15 15:32:45.000000,1,5
1-360464815,Accepted,Panigrahy,2011/06/09 10:37:15.000000,1,5
1-360464815,Completed,Panigrahy,2012/02/21 14:57:48.000000,3,5
1-363206822,Accepted,Pawel,2010/03/26 14:03:21.000000,1,4
1-363206822,Accepted,Pawel,2010/03/26 14:05:35.000000,1,4
1-363206822,Queued,Tomas,2010/03/26 14:05:48.000000,2,1
1-363206822,Accepted,Tomas,2011/09/05 08:28:50.000000,1,1
1-366698569,Accepted,Jerker,2010/04/13 13:37:07.000000,1,6
1-366698569,Accepted,Jerker,2010/04/19 15:59:00.000000,1,6
1-366726662,Accepted,Jerker,2010/04/13 13:50:15.000000,1,6
1-366726662,Accepted,Jerker,2010/04/19 15:59:58.000000,1,6
1-370436092,Accepted,Celine,2010/04/29 08:23:20.000000,1,7
1-370436092,Queued,Celine,2010/04/29 08:23:56.000000,2,7
1-370436092,Accepted,Celine,2010/05/04 13:28:29.000000,1,7
1-370436092,Accepted,Celine,2010/11/09 18:47:12.000000,1,7
1-375644051,Accepted,Sumesh,2010/05/25 11:42:48.000000,1,8
1-375644051,Accepted,Sumesh,2010/05/25 11:49:29.000000,1,8
1-375644051,Accepted,Sumesh,2011/06/29 15:13:19.000000,1,8
1-375644051,Queued,Prasad,2011/11/23 12:47:29.000000,2,9
1-380632889,Accepted,David,2010/06/16 15:09:45.000000,1,10
1-380632889,Queued,David,2010/08/16 11:24:39.000000,2,10
1-378050311,Accepted,Peter,2010/06/22 10:37:32.000000,1,11
1-378050311,Accepted,Peter,2010/07/09 10:03:29.000000,1,11
1-378050311,Accepted,Peter,2010/07/09 10:05:10.000000,1,11
1-378050311,Accepted,Peter,2010/11/08 13:35:26.000000,1,11
1-378050311,Queued,Craig,2011/11/30 13:59:57.000000,2,12
1-378050311,Accepted,Stefan,2012/02/27 08:12:23.000000,1,13
1-378050311,Completed,Stefan,2012/02/27 08:13:44.000000,3,13
1-382209384,Accepted,Tomas,2010/06/23 13:13:51.000000,1,1
1-382209384,Accepted,Tomas,2011/09/03 06:46:51.000000,1,1
1-382209384,Accepted,Niklas,2011/11/14 16:10:10.000000,1,2
1-385201933,Accepted,Joakim,2010/07/08 03:50:41.000000,1,14
1-385201933,Queued,Joakim,2010/07/08 04:04:25.000000,2,14
1-385201933,Accepted,Per,2010/09/07 12:57:19.000000,1,15
1-385201933,Accepted,Per,2010/09/23 09:26:35.000000,1,15
1-385201933,Accepted,Per,2010/12/05 13:27:07.000000,1,15
1-385201933,Completed,Per,2012/01/26 11:39:55.000000,3,15
1-390250582,Accepted,Stephen,2010/08/09 16:21:55.000000,1,16
1-390250582,Accepted,Stephen,2010/08/12 14:09:54.000000,1,16
1-390250582,Accepted,Stephen,2010/08/18 10:28:48.000000,1,16
1-390250582,Accepted,Stephen,2010/08/18 14:42:02.000000,1,16
1-390722958,Accepted,Christer,2010/08/11 09:39:44.000000,1,17
1-390722958,Accepted,Christer,2012/01/16 14:43:19.000000,1,17
1-390722958,Accepted,Christer,2012/03/23 13:53:11.000000,1,17
1-390722958,Completed,Christer,2012/03/23 13:54:08.000000,3,17
1-360072755,Queued,Tomas,2010/08/25 10:04:56.000000,2,1
1-360072755,Accepted,Tomas,2011/09/03 06:49:00.000000,1,1
1-360072755,Accepted,Niklas,2011/11/14 16:10:03.000000,1,2
1-360072755,Accepted,Niklas,2012/01/12 09:23:04.000000,1,2
1-399013423,Queued,Ing-Marie,2010/09/06 11:04:31.000000,2,18
1-399628501,Accepted,David,2010/09/07 14:19:41.000000,1,10
1-399628501,Accepted,David,2010/12/02 11:45:01.000000,1,10
1-402328919,Accepted,Tomas,2010/09/16 15:39:32.000000,1,1
1-402328919,Completed,Tomas,2012/05/29 09:32:02.000000,3,1
1-404005175,Accepted,Per,2010/09/23 15:32:09.000000,1,15
1-404005175,Accepted,Per,2010/12/05 13:28:02.000000,1,15
1-404005175,Completed,Per,2012/01/26 12:06:11.000000,3,15
1-404084309,Accepted,Per,2010/09/23 18:58:12.000000,1,15
1-404084309,Accepted,Per,2011/01/14 14:54:47.000000,1,15
1-404084309,Accepted,Per,2012/02/29 15:32:37.000000,1,15
1-404084309,Completed,Per,2012/02/29 15:32:38.000000,3,15
1-404736991,Accepted,Nicolas,2010/09/29 08:53:12.000000,1,19
1-404736991,Accepted,Rijin,2010/11/16 11:09:29.000000,1,20
1-404736991,Accepted,Rijin,2010/11/16 11:22:09.000000,1,20
1-404736991,Accepted,Rijin,2010/11/19 17:26:11.000000,1,20
1-404736991,Accepted,Rijin,2011/06/30 09:22:26.000000,1,20
1-404736991,Accepted,Rijin,2011/07/01 16:08:45.000000,1,20
1-404736991,Accepted,Rijin,2012/02/29 18:04:06.000000,1,20
1-404736991,Completed,Rijin,2012/02/29 18:07:28.000000,3,20
1-407876996,Accepted,Ing-Marie,2010/10/08 16:16:15.000000,1,18
